tract,cbsa,cbsaname,cbsapop,cbsasamp1,cbsasamp2,cbsasamp3,nwhite,nblack,nhisp,nasian,povyes,povno,edlow,edhs,edsome,edba,owner,renter,twoparent,singparent,nokids,age0017,age1859,age60up,race_pop,pr_white,pr_black,pr_hisp,pr_asian,pov_pop,pr_pov,singpar_pop,pr_singpar,age_pop,pr_adult_nohs,hsplus
6001422300,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,2062,232,311,654,539,2492,89,181,433,1462,595,1066,200,47,1270,487,2241,659,3259,0.63270942,0.071187481,0.095428045,0.200675054,3031,0.177829099,1517,0.030982202,2900,0.030689655,2076
6075980200,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,216,40,25,33,22,191,17,34,23,182,36,26,12,0,81,22,113,185,314,0.687898089,0.127388535,0.079617834,0.105095541,213,0.103286385,93,0,298,0.05704698,239
6001423300,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,1313,1332,542,336,377,3111,151,322,787,1154,801,820,188,184,1103,709,2191,747,3523,0.372693727,0.378086858,0.153846154,0.095373261,3488,0.108084862,1475,0.124745763,2938,0.051395507,2263
6001442100,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,1063,39,141,3814,298,4805,70,331,660,2345,1359,269,799,100,728,1448,2725,993,5057,0.210203678,0.007712082,0.027882144,0.754202096,5103,0.058397021,1627,0.061462815,3718,0.018827327,3336
6001406300,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,253,814,1574,1441,590,3565,1011,710,632,424,457,754,291,273,656,1054,2492,567,4082,0.061979422,0.199412053,0.385595296,0.353013229,4155,0.141997593,1220,0.223770492,3059,0.330500163,1766
6013345116,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,1858,59,318,512,15,3065,70,274,563,1176,795,139,425,55,501,821,1622,416,2747,0.676374226,0.021477976,0.11576265,0.186385147,3080,0.00487013,981,0.05606524,2038,0.034347399,2013
6081611200,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,2046,43,647,206,67,2812,73,283,624,1063,895,174,351,63,687,711,1662,632,2942,0.695445275,0.014615908,0.219918423,0.070020394,2879,0.023271969,1101,0.057220708,2294,0.031822145,1970
6001423901,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,1105,470,221,154,253,1467,26,195,504,636,317,566,83,71,615,283,1423,314,1950,0.566666667,0.241025641,0.113333333,0.078974359,1720,0.147093023,769,0.092327698,1737,0.014968336,1335
6075047801,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,1419,62,223,2192,352,3643,474,614,571,1505,737,897,229,181,1054,543,2482,980,3896,0.364219713,0.015913758,0.057238193,0.562628337,3995,0.088110138,1464,0.12363388,3462,0.136915078,2690
6081605300,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,3085,75,577,728,298,3910,268,331,829,1701,1043,869,369,151,1259,1011,2716,875,4465,0.690929451,0.016797312,0.129227324,0.163045913,4208,0.07081749,1779,0.084879146,3591,0.074631022,2861
